text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
Winda uciha 😂,winda uciha,winda uciha,winda uciha,winda uciha,winda uciha
Mirip si vernon ngik ngik soang bejier,mirip si vernon ngik ngik soang bejier,mirip si vernon ngik ngik soang bejier,si vernon ngik ngik soang bejier,si vernon ngik ngik soang bejier,Vernon snorted soang Bejier
48:40 okeeeyy bg,okeeeyy bg,okeeeyy bang,okeeeyy bang,okeeeyy bang,okay bro
Bang maaf telat,bang maaf telat,bang maaf telat,bang maaf telat,bang maaf telat,"bro, sorry I'm late"
30:28 bang udah bang gak kuat lagi dengerin suaranya😖salting parahhhhh,bang udah bang gak kuat lagi dengerin suaranyasalting parahhhhh,bang sudah bang gak kuat lagi dengerin suaranyasalting parahhhhh,bang bang gak kuat dengerin suaranyasalting parahhhhh,bang bang gak kuat dengerin suaranyasalting parahhhhh,"Bro, bro, I can't hear the sound, it's so salty, it's so bad"
Mungkin aku telat nontonnya tapi aku cuma mau bilang makasih bang sudah mencoba game ini ❤❤❤,mungkin aku telat nontonnya tapi aku cuma mau bilang makasih bang sudah mencoba game ini,mungkin aku telat nontonnya tapi aku cuma mau bilang makasih bang sudah mencoba game ini,telat nontonnya bilang makasih bang mencoba game,telat nontonnya bilang makasih bang coba game,"I was late watching it and said thanks bro, try the game"
THANK YOUU BANG for being kind and understandingg Y_Y,thank youu bang for being kind and understandingg yy,thank youu bang for being kind and understandingg yy,thank youu bang for being kind and understandingg yy,thank youu bang for being kind and understandingg yy,thank you bro for being kind and understanding
Makasih bang udah respect ke viewers yang cewek,makasih bang udah respect ke viewers yang cewek,makasih bang sudah respect ke viewers yang cewek,makasih bang respect viewers cewek,makasih bang respect viewers cewek,"Thank you bro, respect female viewers"
Ini si sylus tampang doang keknya gahar kaya bad boy tp keknya green flag dah awokawok,ini si sylus tampang doang keknya gahar kaya bad boy tp keknya green flag dah awokawok,ini si sylus tampang doang keknya gahar kaya bad boy tp keknya green flag dah awokawok,si sylus tampang doang keknya gahar kaya bad boy tp keknya green flag dah awokawok,si sylus tampang doang kek gahar kaya bad boy tp kek green flag dah awokawok,Sylus just looks cool like a bad boy but Green Flag is already cool
1:59:39 sumpah zayne malu ih😭,sumpah zayne malu ih,sumpah zayne malu ih,sumpah zayne malu ih,sumpah zayne malu ih,I swear Zayne is embarrassed
THE POWER OF WINDAH UCHIHA,the power of windah uchiha,the power of windah uchiha,the power of windah uchiha,the power of windah uchiha,the power of windah uchiha
"Terlahir lah seorang uchiha windah,  uchiha windah rela di diejek dijelekin demi meningkatkan reputasi game  love and deepspace. Inilah uchiha terbaru 2025 yaitu ""uchiha windah"" 😎",terlahir lah seorang uchiha windah uchiha windah rela di diejek dijelekin demi meningkatkan reputasi game love and deepspace inilah uchiha terbaru yaitu uchiha windah,terlahir lah seorang uchiha windah uchiha windah rela di diejek dijelekin demi meningkatkan reputasi game love and deepspace inilah uchiha terbaru yaitu uchiha windah,terlahir uchiha windah uchiha windah rela diejek dijelekin meningkatkan reputasi game love and deepspace uchiha terbaru uchiha windah,lahir uchiha windah uchiha windah rela ejek dijelekin tingkat reputasi game love and deepspace uchiha baru uchiha windah,"Uchiha Windah was born Uchiha Windah was willing to be ridiculed and insulted, reputation level of love and deepspace new uchiha game Uchiha Windah"
"Bang sebenrnya Xavier polos banget, Sylus jahat banget bang, Caleb abrakadabra bang",bang sebenrnya xavier polos banget sylus jahat banget bang caleb abrakadabra bang,bang sebenrnya xavier polos banget sylus jahat banget bang caleb abrakadabra bang,bang sebenrnya xavier polos banget sylus jahat banget bang caleb abrakadabra bang,bang sebenrnya xavier polos banget sylus jahat banget bang caleb abrakadabra bang,"Bro, actually, Xavier is really innocent, Sylus is really evil, bro, Caleb Abracadabra, bro"
Gk paham sifat char nya?,gk paham sifat char nya,gk paham sifat char nya,gk paham sifat char nya,gk paham sifat char nya,I don't understand the character's nature
"Hadir ☺️ 

Walaupun ini game tentang cowok ganteng+fans cowok gk mendukung, tapi gw dukung dukung aja sih yaahhh walupun gw gk nonton, yahh gimana yah gw kan cowok 😂😂 semangat terus bg windah",hadir walaupun ini game tentang cowok gantengfans cowok gk mendukung tapi gw dukung dukung aja sih yaahhh walupun gw gk nonton yahh gimana yah gw kan cowok semangat terus bg windah,hadir walaupun ini game tentang cowok gantengfans cowok gk mendukung tapi gw dukung dukung saja sih yaahhh walupun gw gk nonton yahh gimana yah gw kan cowok semangat terus bang windah,hadir game cowok gantengfans cowok gk mendukung gw dukung dukung sih yaahhh walupun gw gk nonton yahh gimana yah gw cowok semangat bang windah,hadir game cowok gantengfans cowok gk dukung gw dukung dukung sih yaahhh walupun gw gk nonton yahh gimana yah gw cowok semangat bang windah,"Handsome guy's game is here, boy fans don't support it, I support it, support it, even though I don't watch it, how come, I'm an enthusiastic guy, bro, Windah"
keknya gw pernah req game ini deh😭,keknya gw pernah req game ini deh,keknya gw pernah req game ini deh,keknya gw req game deh,kek gw req game deh,I'll req the game
makasi bang uda main game ini demi cewe cewe lov you❤,makasi bang uda main game ini demi cewe cewe lov you,makasi bang uda main game ini demi cewe cewe lov you,makasi bang uda main game cewe cewe lov you,makas bang uda main game cewe cewe lov you,Thanks bro for playing games girls love you
makasii udah main game ini bang i love it❤❤,makasii udah main game ini bang i love it,makasii sudah main game ini bang i love it,makasii main game bang i love it,makasii main game bang i love it,"thanks for playing the game bro, I love it"
Uchiha windah,uchiha windah,uchiha windah,uchiha windah,uchiha windah,Uchiha Windah
Plis ngakak bgt langsung beli pas sylus handukan 😭😭😭😭,plis ngakak bgt langsung beli pas sylus handukan,tolong ngakak banget langsung beli pas sylus handukan,tolong ngakak banget langsung beli pas sylus handukan,tolong ngakak banget langsung beli pas sylus handuk,Please really laugh and buy the right towel sylus
ternyata cewek spender buat gamenya kuat juga yak wkwkwkwkwkwk,ternyata cewek spender buat gamenya kuat juga yak wkwkwkwkwkwk,ternyata cewek spender buat gamenya kuat juga yak wkwkwkwkwkwk,cewek spender gamenya kuat yak wkwkwkwkwkwk,cewek spender gamenya kuat yak wkwkwkwkwkwk,"The game spender girl is strong, hahaha"
"Kami para cewek juga manusia biasa yg butuh hiburan, salah satu hiburannya ya game. Cowok2 di game ini tuh perfect banget. Tipe cowok yg para cewek pengen tp susah buat didapetin di dunia nyata",kami para cewek juga manusia biasa yg butuh hiburan salah satu hiburannya ya game cowok di game ini tuh perfect banget tipe cowok yg para cewek pengen tp susah buat didapetin di dunia nyata,kami para cewek juga manusia biasa yang butuh hiburan salah satu hiburannya ya game cowok di game ini tuh perfect banget tipe cowok yang para cewek pengen tp susah buat didapetin di dunia nyata,cewek manusia butuh hiburan salah hiburannya ya game cowok game tuh perfect banget tipe cowok cewek pengen tp susah didapetin dunia nyata,cewek manusia butuh hibur salah hibur ya game cowok game tuh perfect banget tipe cowok cewek ken tp susah didapetin dunia nyata,"Human girls need to be entertained, it's wrong to be entertained, game boys are really perfect, the type of boy, girl, but it's hard to find in the real world"
"AKU SEBAGAI PECINTA DAN PEMAIN GAME LOVE AND DEEPSPACE INI , SANGAT SANGAT SENANG WOYY 😭😭",aku sebagai pecinta dan pemain game love and deepspace ini sangat sangat senang woyy,aku sebagai pecinta dan pemain game love and deepspace ini sangat sangat senang woyy,pecinta pemain game love and deepspace senang woyy,cinta main game love and deepspace senang woyy,"love playing the game love and deepspace, it's fun, wow"
waduh kering gigiku nih bang nyengir terus soalnya hehehe,waduh kering gigiku nih bang nyengir terus soalnya hehehe,waduh kering gigiku nih bang nyengir terus soalnya hehehe,kering gigiku nih bang nyengir hehehe,kering gigi nih bang nyengir hehehe,"My teeth are dry, I'm grinning, hehehe"
"WAWWWWWW, terimakasih bang windah sudah memainkan game ini 🫰🏻",wa terimakasih bang windah sudah memainkan game ini,wa terimakasih bang windah sudah memainkan game ini,wa terimakasih bang windah memainkan game,wa terimakasih bang windah main game,"Wow, thank you bro, Windah for playing the game"
"BANG LANJUTT GAA MAININ INII, HARUS LANJUT!!!!!!",bang lanjutt gaa mainin inii harus lanjut,bang lanjutt gaa mainin inii harus lanjut,bang lanjutt gaa mainin inii,bang lanjutt gaa mainin ini,"Bro, don't you continue playing this?"
"99% persen yang bilang orang2x ngehujat 1% komen yang bener bener ngehujat, gmn tuh dikira kira gaes",persen yang bilang orangx ngehujat komen yang bener bener ngehujat gmn tuh dikira kira gaes,persen yang bilang orangx ngehujat komen yang bener bener ngehujat gmn tuh dikira kira gaes,persen bilang orangx ngehujat komen bener bener ngehujat gmn tuh gaes,persen bilang orangx ngehujat komen bener bener ngehujat gmn tuh gaes,"Percent said that people are blaspheming comments, what's really blasphemous, guys"
ASIKK,asikk,asikk,asikk,asikk,cool
gakuat liat windah cengar cengir 😭😭,gakuat liat windah cengar cengir,gakuat liat windah cengar cengir,gakuat liat windah cengar cengir,gakuat liat windah cengar cengir,I can't help but see Windah grinning
AKHIRNYAAAAA,akhirnyaaaaa,akhirnyaaaaa,akhirnyaaaaa,akhirnyaaaaa,finally
Uciha windah🗿,uciha windah,uciha windah,uciha windah,uciha windah,uciha windah
"SENENG NYA AKHIRNYA DI REVIEW 

Aku sebagai player dri LADS ngakak aja liat reaksi Windah wkwkk, keren bang udah tahan sama bocil2 fomo❤",seneng nya akhirnya di review aku sebagai player dri lads ngakak aja liat reaksi windah wkwkk keren bang udah tahan sama bocil fomo,seneng nya akhirnya di review aku sebagai player dri lads ngakak saja liat reaksi windah tertawa keren bang sudah tahan sama bocil fomo,seneng nya review player dri lads ngakak liat reaksi windah tertawa keren bang tahan bocil fomo,neng nya review player dri lads ngakak liat reaksi windah tertawa keren bang tahan bocil fomo,"Neng, the player review from the lads can't help but laugh at Windah's reaction, laugh cool, bro, hold on to the fomo leak"
"respect bang, makasih juga udah main game ini karena udah nunggu nunggu banget, nex nya main ke semua karakter ya jangan zayne aja, suka sih sama zayne",respect bang makasih juga udah main game ini karena udah nunggu nunggu banget nex nya main ke semua karakter ya jangan zayne aja suka sih sama zayne,respect bang makasih juga sudah main game ini karena sudah nunggu nunggu banget nex nya main ke semua karakter ya jangan zayne saja suka sih sama zayne,respect bang makasih main game nunggu nunggu banget nex nya main karakter ya zayne suka sih zayne,respect bang makasih main game nunggu nunggu banget nex nya main karakter ya zayne suka sih zayne,"Respect bro, thanks for playing the waiting game. Really waiting for Nex to play the character. Zayne really likes it. Zayne"
BANG LANJUT STORY CALEB BANG,bang lanjut story caleb bang,bang lanjut story caleb bang,bang story caleb bang,bang story caleb bang,"bro, caleb's story bro"
Game jomox,game jomox,game jomox,game jomox,game jomox,jomox games
"​​ @l.o.r.d7753 kalo gak ngerti hal sesimpel target maketing gausah komen apa-apa, keliatan bodohnya soalnya",lord kalo gak ngerti hal sesimpel target maketing gausah komen apaapa keliatan bodohnya soalnya,lord kalo gak ngerti hal sesimpel target maketing gausah komen apaapa keliatan bodohnya soalnya,lord kalo gak ngerti sesimpel target maketing gausah komen apaapa keliatan bodohnya,lord kalo gak ngerti simpel target maketing gausah komen apaapa liat bodoh,"Lord, if you don't understand the simple targets of marketing, don't comment anything, you look stupid"
​ @l.o.r.d7753 pls lu nonton ga si video ini? dimana jomoknya? perasaan cuman ada adegan romantis doang.normal loh padahal cuman pelukan.lagian windah juga pernah main game cewe tobrut dan itunya goyang² gaada tuh cewe yang protes.,lord pls lu nonton ga si video ini dimana jomoknya perasaan cuman ada adegan romantis doangnormal loh padahal cuman pelukanlagian windah juga pernah main game cewe tobrut dan itunya goyang gaada tuh cewe yang protes,lord tolong lu nonton ga si video ini dimana jomoknya perasaan cuman ada adegan romantis doangnormal loh padahal cuman pelukanlagian windah juga pernah main game cewe tobrut dan itunya goyang gaada tuh cewe yang protes,lord tolong lu nonton ga si video dimana jomoknya perasaan cuman adegan romantis doangnormal loh cuman pelukanlagian windah main game cewe tobrut itunya goyang gaada tuh cewe protes,lord tolong lu nonton ga si video mana jomoknya asa cuman adegan romantis doangnormal loh cuman pelukanlagian windah main game cewe tobrut itu goyang gaada tuh cewe protes,"Lord, can you please watch the video, which video is dirty, hope it's just a romantic scene, it's normal, it's just a hug, what's more, it's cool to play the game, the girl in Tobrut is shaking, there's nothing, the girl is protesting."
Seneng liat comment section nya adem. Ngga ada bocil miskin banyak bacot yang ngga respek sama preference orang lain.,seneng liat comment section nya adem ngga ada bocil miskin banyak bacot yang ngga respek sama preference orang lain,seneng liat comment section nya adem ngga ada bocil miskin banyak bacot yang ngga respek sama preference orang lain,seneng liat comment section nya adem ngga bocil miskin bacot ngga respek preference orang,neng liat comment section nya adem ngga bocil miskin bacot ngga respek preference orang,"Looking at the comment section, it's cool, it's not dirty, it's poor, it's rude, it doesn't respect people's preferences"
LANJUTIN BANG💪,lanjutin bang,lanjutin bang,lanjutin bang,lanjutin bang,carry on bro
Gue baru install game ini dan lgsg addicted wkwkwk,gue baru install game ini dan lgsg addicted wkwkwk,gue baru install game ini dan lgsg addicted tertawa,gue install game lgsg addicted tertawa,gue install game lgsg addicted tertawa,I installed the game immediately addicted to laugh
🐽🐽🐽,,,,,
ANJAYYY WINDAH,anjayyy windah,anjayyy windah,anjayyy windah,anjayyy windah,anjayyy windah
54,,,,,
LANJUT PLSSS SMPE STORY NYA KELARRR 😔😔😔😔,lanjut plsss smpe story nya kelarrr,lanjut plsss smpe story nya kelarrr,plsss smpe story nya kelarrr,plsss smpe story nya kelarrr,plsss until the story is finished
57:47  eh buat bocil PC kentang Noh liat game nya berapa GB lebih,eh buat bocil pc kentang noh liat game nya berapa gb lebih,eh buat bocil pc kentang noh liat game nya berapa gb lebih,eh bocil pc kentang noh liat game nya gb,eh bocil pc kentang noh liat game nya gb,"eh, it's a joke on a potato PC, look at the game, GB"
WKWKWL EVELYN ASLI JAWA,wkwkwl evelyn asli jawa,wkwkwl evelyn asli jawa,wkwkwl evelyn asli jawa,wkwkwl evelyn asli jawa,hahahaha Evelyn is originally from Java
"heran bgt sama yg ngehujatt, aku udah main dari pertama game ini rilis sampe sekarang dan gamenya bener” ga ada yg salah, ga ada yg mengarah kesana, dari story utamanya, sampe card cardnya masih normal normal aja, makanya org” yg ngehujat ni game, cobain main deh, biar lu pada tau🤣",heran bgt sama yg ngehujatt aku udah main dari pertama game ini rilis sampe sekarang dan gamenya bener ga ada yg salah ga ada yg mengarah kesana dari story utamanya sampe card cardnya masih normal normal aja makanya org yg ngehujat ni game cobain main deh biar lu pada tau,heran banget sama yang ngehujatt aku sudah main dari pertama game ini rilis sampe sekarang dan gamenya bener ga ada yang salah ga ada yang mengarah kesana dari story utamanya sampe card cardnya masih normal normal saja makanya org yang ngehujat ni game cobain main deh biar lu pada tau,heran banget ngehujatt main game rilis sampe gamenya bener ga salah ga mengarah kesana story utamanya sampe card cardnya normal normal org ngehujat ni game cobain main deh biar lu tau,heran banget ngehujatt main game rilis sampe gamenya bener ga salah ga arah kesana story utama sampe card cardnya normal normal org ngehujat ni game cobain main deh biar lu tau,"I'm really surprised that people are blaspheming about playing the released game until the game is correct, it's not wrong, it doesn't go there, the main story until the cards are normal, people are blaspheming this game, try playing it so you know"
"sebenarnya pas kita nentuin tanggal b'day kita kita bisa pilih siapa yang bakal kasi kado ke kita dari ke 5 karakter,tapi tergantung kalo kita pakenya karakter zayne,yang bakal kasi kado zayne",sebenarnya pas kita nentuin tanggal bday kita kita bisa pilih siapa yang bakal kasi kado ke kita dari ke karaktertapi tergantung kalo kita pakenya karakter zayneyang bakal kasi kado zayne,sebenarnya pas kita nentuin tanggal bday kita kita bisa pilih siapa yang bakal kasi kado ke kita dari ke karaktertapi tergantung kalo kita pakenya karakter zayneyang bakal kasi kado zayne,pas nentuin tanggal bday pilih kasi kado karaktertapi tergantung kalo pakenya karakter zayneyang kasi kado zayne,pas nentuin tanggal bday pilih kasi kado karaktertapi gantung kalo pakenya karakter zayneyang kasi kado zayne,"When you decide on the date for Bday, choose to give a character gift, but hang up if it's Zayne's character, give Zayne a gift"
Lanjutrtr,lanjutrtr,lanjutrtr,lanjutrtr,lanjutrtr,continuedrtr
bang pliss lanjut mpe tamat🙂,bang pliss lanjut mpe tamat,bang pliss lanjut mpe tamat,bang pliss mpe tamat,bang pliss mpe tamat,"Bro, pls, it's finished"
baangg tolong lanjutin maen game ini sampe tamat seruu banget bang,baangg tolong lanjutin maen game ini sampe tamat seruu banget bang,baangg tolong lanjutin maen game ini sampe tamat seruu banget bang,baangg tolong lanjutin maen game sampe tamat seruu banget bang,baangg tolong lanjutin maen game sampe tamat seruu banget bang,"Bro, please continue playing the game until the end, it's really exciting, bro"
"bang windah, next main game ini sama mama agnes",bang windah next main game ini sama mama agnes,bang windah next main game ini sama mama agnes,bang windah next main game mama agnes,bang windah next main game mama agnes,"Bang Windah, next game, Mama Agnes"
"Terimakasih bang windah sudah mainin game ini❤,, suka banget banget pokoknya sama game ini🤩🤩",terimakasih bang windah sudah mainin game ini suka banget banget pokoknya sama game ini,terimakasih bang windah sudah mainin game ini suka banget banget pokoknya sama game ini,terimakasih bang windah mainin game suka banget banget pokoknya game,terimakasih bang windah mainin game suka banget banget pokok game,"Thank you bro, Windah, playing the game, really like the game"
"PENONTON CEWEK WINDAH, UNITE!!! <3",penonton cewek windah unite,penonton cewek windah unite,penonton cewek windah unite,tonton cewek windah unite,watch beautiful girls unite
Lucu banget komentar dari bang windah wkwk kita sama bang suka zayne sama Caleb wkwk,lucu banget komentar dari bang windah wkwk kita sama bang suka zayne sama caleb wkwk,lucu banget komentar dari bang windah tertawa kita sama bang suka zayne sama caleb tertawa,lucu banget komentar bang windah tertawa bang suka zayne caleb tertawa,lucu banget komentar bang windah tertawa bang suka zayne caleb tertawa,"Very funny comment, Bro, Windah laughs, bro, Zayne Caleb laughs"
"KERENNN, MAKASIH BANG WINDAH UDAH MAIN😍😍😍😍",kerennn makasih bang windah udah main,kerennn makasih bang windah sudah main,kerennn makasih bang windah main,kerennn makasih bang windah main,"Cool, thanks bro, Windah for playing"
Lagi² gw ketinggalan,lagi gw ketinggalan,lagi gw ketinggalan,gw ketinggalan,gw tinggal,I'm staying
"Lah kok bawa finacial sih? Kan masalah sifat bukan masalah keuangan? Kan ada sifat orang yang membenci gender yang berbeda seperti cewe bilang cowok rata rata kalo berteman sama cewek bencong, dan kalo cowok bilang cewe lemah kan itu sifat",lah kok bawa finacial sih kan masalah sifat bukan masalah keuangan kan ada sifat orang yang membenci gender yang berbeda seperti cewe bilang cowok rata rata kalo berteman sama cewek bencong dan kalo cowok bilang cewe lemah kan itu sifat,lah kok bawa finacial sih kan masalah sifat bukan masalah keuangan kan ada sifat orang yang membenci gender yang berbeda seperti cewe bilang cowok rata rata kalo berteman sama cewek bencong dan kalo cowok bilang cewe lemah kan itu sifat,bawa finacial sih sifat keuangan sifat orang membenci gender berbeda cewe bilang cowok kalo berteman cewek bencong kalo cowok bilang cewe lemah sifat,bawa finacial sih sifat uang sifat orang benci gender beda cewe bilang cowok kalo teman cewek bencong kalo cowok bilang cewe lemah sifat,"bring finances, the nature of money, the nature of people hating different genders, girls say that a guy says that a girl's friend is a bitch, a guy says that a girl has a weak character."
​​ @darlenatobing positive thinking mungkin maksudnya miskin kepintaran😞,darlenatobing positive thinking mungkin maksudnya miskin kepintaran,darlenatobing positive thinking mungkin maksudnya miskin kepintaran,darlenatobing positive thinking maksudnya miskin kepintaran,darlenatobing positive thinking maksud miskin pintar,darlenatobing positive thinking means poor smart
gg bang tapi aku gak nanya,gg bang tapi aku gak nanya,gg bang tapi aku gak nanya,gg bang gak nanya,gg bang gak nanya,gg bro didn't ask
Uchiha Windah,uchiha windah,uchiha windah,uchiha windah,uchiha windah,Uchiha Windah
😂,,,,,
Bang kok gak jadi silus bang😢,bang kok gak jadi silus bang,bang kok gak jadi silus bang,bang gak silus bang,bang gak silus bang,"Bro, it's not simple bro"
bang aku habis putus😪,bang aku habis putus,bang aku habis putus,bang habis putus,bang habis putus,"bro, it's broken up"
windah uciha,windah uciha,windah uciha,windah uciha,windah uciha,windah uciha
Gara gara lu main game lads (aku main jg) aku jadi pertama kali nonton channel windah basudara😂😂😂,gara gara lu main game lads aku main jg aku jadi pertama kali nonton channel windah basudara,gara gara lu main game lads aku main juga aku jadi pertama kali nonton channel windah basudara,gara gara lu main game lads main kali nonton channel windah basudara,gara gara lu main game lads main kali nonton channel windah basudara,"because you play games, lads, when you watch the Windah Basudara channel"
kita terkena genjutsu uciha windah,kita terkena genjutsu uciha windah,kita terkena genjutsu uciha windah,terkena genjutsu uciha windah,kena genjutsu uciha windah,hit by Uciha Windah's genjutsu
"yeayy, akhirnya 🫶🏻🎉",yeayy akhirnya,yeayy akhirnya,yeayy,yeayy,yeah
Drill uchiha windah,drill uchiha windah,drill uchiha windah,drill uchiha windah,drill uchiha windah,drill uchiha windah
Uchiha di 2025😢,uchiha di,uchiha di,uchiha,uchiha,uchiha
"""Uchiha windah""",uchiha windah,uchiha windah,uchiha windah,uchiha windah,Uchiha Windah
"Uchiha windah telah terlahi karena menaikan pemain game ini dua kali lipat, dan semuanya akan menjadi  uchiha pada waktunya respect windah",uchiha windah telah terlahi karena menaikan pemain game ini dua kali lipat dan semuanya akan menjadi uchiha pada waktunya respect windah,uchiha windah telah terlahi karena menaikan pemain game ini dua kali lipat dan semuanya akan menjadi uchiha pada waktunya respect windah,uchiha windah terlahi menaikan pemain game kali lipat uchiha respect windah,uchiha windah lah naik main game kali lipat uchiha respect windah,Uchiha Windah is up to playing games twice as much as Uchiha respects Windah
"banggg mainin game infinity nikki juga dongg itu game open world dress up buat cewe2 juga, company yang nggarap gamenya juga sama kaya lads",banggg mainin game infinity nikki juga dongg itu game open world dress up buat cewe juga company yang nggarap gamenya juga sama kaya lads,banggg mainin game infinity nikki juga dongg itu game open world dress up buat cewe juga company yang nggarap gamenya juga sama kaya lads,banggg mainin game infinity nikki dongg game open world dress up cewe company nggarap gamenya kaya lads,banggg mainin game infinity nikki dongg game open world dress up cewe company nggarap gamenya kaya lads,proud to play the game infinity nikki dongg game open world dress up girl company working on the game like lads
uchiha windah☠️,uchiha windah,uchiha windah,uchiha windah,uchiha windah,Uchiha Windah
Uchiha windah,uchiha windah,uchiha windah,uchiha windah,uchiha windah,Uchiha Windah
Uciha windah ✋😐✋,uciha windah,uciha windah,uciha windah,uciha windah,uciha windah
Semoga sehat selalu bang windah dan semoga sukses selalu,semoga sehat selalu bang windah dan semoga sukses selalu,semoga sehat selalu bang windah dan semoga sukses selalu,semoga sehat bang windah semoga sukses,moga sehat bang windah moga sukses,"I wish you good health, bro, good luck"
Weyyy main juga bang Winda ❤❤,weyyy main juga bang winda,weyyy main juga bang winda,weyyy main bang winda,weyyy main bang winda,"Wow, playing bro Winda"
Aku gakuat ip 11 bang mau main ini😢,aku gakuat ip bang mau main ini,aku gakuat ip bang mau main ini,gakuat ip bang main,gakuat ip bang main,I can't play IP bro
Sylus bukan silus,sylus bukan silus,sylus bukan silus,sylus silus,sylus silus,sylus sylus
Klo gk paham tanya ke senior di grup,klo gk paham tanya ke senior di grup,klo gk paham tanya ke senior di grup,klo gk paham senior grup,klo gk paham senior grup,if you don't understand the senior group
Uchiha baru yang terlahir,uchiha baru yang terlahir,uchiha baru yang terlahir,uchiha terlahir,uchiha lahir,Uchiha was born
Banyak yang ngehina bang windah tapi game nya malah makin rame,banyak yang ngehina bang windah tapi game nya malah makin rame,banyak yang ngehina bang windah tapi game nya malah makin rame,ngehina bang windah game nya rame,ngehina bang windah game nya rame,"It's insulting, bro, the game is so busy"
beli satu lagi bang android,beli satu lagi bang android,beli satu lagi bang android,beli bang android,beli bang android,buy an android bro
"aduhaii🗿
kocak banget bang Windah di live ni😂😭",aduhaii kocak banget bang windah di live ni,aduhaii kocak banget bang windah di live ni,aduhaii kocak banget bang windah live ni,aduhai kocak banget bang windah live ni,"Oh my, this live bro, Windah, is so funny"
"Keren gamenya bang Windah, aku bangga padamu dan mama aku",keren gamenya bang windah aku bangga padamu dan mama aku,keren gamenya bang windah aku bangga padamu dan mama aku,keren gamenya bang windah bangga padamu mama,keren gamenya bang windah bangga pada mama,"Cool game, bro, Windah is proud of mom"
"Yang ngegoreng gak dapet duit kasian hehe , lanjutkan bang seruh juga.",yang ngegoreng gak dapet duit kasian hehe lanjutkan bang seruh juga,yang ngegoreng gak dapet duit kasian hehe lanjutkan bang seruh juga,ngegoreng gak dapet duit kasian hehe lanjutkan bang seruh,ngegoreng gak dapet duit kasi hehe lanjut bang seruh,"I don't get any money for frying, hehe, keep going bro, fun"
LAGIIIIIIIIII,lagiiiiiiiiii,lagiiiiiiiiii,lagiiiiiiiiii,lagiiiiiiiiii,againeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
Kalo versi Evolxlove serasa dibawa angin sama karakter Gavin,kalo versi evolxlove serasa dibawa angin sama karakter gavin,kalo versi evolxlove serasa dibawa angin sama karakter gavin,kalo versi evolxlove serasa dibawa angin karakter gavin,kalo versi evolxlove serasa bawa angin karakter gavin,the evolxlove version feels like it brings the wind of gavin's character
"Makasii bang udah mainin game love and deepspace, big respect buat abang.",makasii bang udah mainin game love and deepspace big respect buat abang,makasii bang sudah mainin game love and deepspace big respect buat abang,makasii bang mainin game love and deepspace big respect abang,makasii bang mainin game love and deepspace big respect abang,"thanks bro, play the game love and deepspace big respect bro"
Windah Uchiha🗿,windah uchiha,windah uchiha,windah uchiha,windah uchiha,Uchiha windah
"Gw kasian sama lu bang 
Orang-orang pada ngatain lu 😭😭😭😭💕padahal niat lu untuk menghibur salam dari tangsel",gw kasian sama lu bang orangorang pada ngatain lu padahal niat lu untuk menghibur salam dari tangsel,gw kasian sama lu bang orangorang pada ngatain lu padahal niat lu untuk menghibur salam dari tangsel,gw kasian lu bang orangorang ngatain lu niat lu menghibur salam tangsel,gw kasi lu bang orangorang ngatain lu niat lu hibur salam tangsel,"I give you bro, people are telling you that you intend to entertain Tangsel greetings"
"Seru bang, lanjutin please 😁🥰",seru bang lanjutin please,seru bang lanjutin please,seru bang lanjutin please,seru bang lanjutin please,"It's fun, bro, please continue"
Bisa2nya cowo main ginian cape banget wkwkwk,bisanya cowo main ginian cape banget wkwkwk,bisanya cowo main ginian cape banget tertawa,bisanya cowo main ginian cape banget tertawa,bisa cowo main ginian cape banget tertawa,"can a guy play like this, he's really tired of laughing"
keren bang,keren bang,keren bang,keren bang,keren bang,cool bro
Uchiha Wih indah Baksobara,uchiha wih indah baksobara,uchiha wih indah baksobara,uchiha wih indah baksobara,uchiha wih indah baksobara,uchiha wow beautiful baksobara
"Gua tau windah jadi uchiha, dari bg isseinugroho, lu keren bg jadi uchiha gw juga pengen, rela di hujat demi meramaikan game nya",gua tau windah jadi uchiha dari bg isseinugroho lu keren bg jadi uchiha gw juga pengen rela di hujat demi meramaikan game nya,gua tau windah jadi uchiha dari bang isseinugroho lu keren bang jadi uchiha gw juga pengen rela di hujat demi meramaikan game nya,gua tau windah uchiha bang isseinugroho lu keren bang uchiha gw pengen rela hujat meramaikan game nya,gua tau windah uchiha bang isseinugroho lu keren bang uchiha gw ken rela hujat ramai game nya,"I know Windah Uchiha, Isseinugroho, you're cool, Uchiha, I'm willing to insult a lot of games"
bang kata kakekku kamu mirip zayne,bang kata kakekku kamu mirip zayne,bang kata kakekku kamu mirip zayne,bang kakekku zayne,bang kakek zayne,Zayne's grandfather
@56:59,,,,,
Yang hujat windah mah udah jelas karbit+fans lads fanatik ngapain di ladenin😂,yang hujat windah mah udah jelas karbitfans lads fanatik ngapain di ladenin,yang hujat windah mah sudah jelas karbitfans lads fanatik ngapain di ladenin,hujat windah mah karbitfans lads fanatik ngapain ladenin,hujat windah mah karbitfans lads fanatik ngapain ladenin,Blaspheme Windah Mah Karbitfans fanatical lads what Ladenin is doing
