teks_terjemah,Label_Asli,Prediksi_NB,Prediksi_SVM
"I enjoy being a neutral orphan but the game has a lot of stories, I have cool HD visuals, it's really cool, the war effects are cool, in the beginning there are lots of stories",Positive,Positive,Positive
,Neutral,Neutral,Neutral
"It's great, bro, Windah balances out the male and female viewers, bro, Windahs prefers playing games, likes guys, still plays games, girls, female viewers, the coolest streamers in Indonesia",Positive,Positive,Positive
nice bro win,Positive,Positive,Positive
Uchiha Winda,Neutral,Neutral,Neutral
Rafayel is my boyfriend,Neutral,Neutral,Neutral
gj games,Neutral,Neutral,Neutral
"Thank you bro, playing this game is really fun, by the way, Sylus' husband, bro",Negative,Positive,Negative
Zayne dear boy,Neutral,Neutral,Neutral
yes darling,Neutral,Neutral,Neutral
"Yes, the story really highlights the otome",Positive,Neutral,Positive
"otome visual novel form, complete package of mini rpg games etc",Positive,Positive,Neutral
aim,Neutral,Neutral,Neutral
lots of nibbling,Neutral,Neutral,Neutral
touch some grass,Neutral,Neutral,Neutral
lost in the fiction competition?,Neutral,Neutral,Neutral
"I'm afraid I don't get people's attention and affection, kasi",Negative,Negative,Negative
you're crazy,Negative,Negative,Negative
gj,Neutral,Neutral,Neutral
your face is gone,Neutral,Neutral,Neutral
"What are you doing, cool bro, what a pathetic attention seeker",Negative,Neutral,Neutral
plssss really like it,Positive,Positive,Positive
It's a bit blasphemous,Neutral,Positive,Neutral
"Bro, I fell asleep during Zayne's story",Neutral,Neutral,Neutral
"Sylus really looks like a real badboy, bro, Greenflag",Positive,Positive,Positive
aaaakkk thx bro Windows has silenced the double standard oot but bro Windows uses an emulator yeh,Neutral,Neutral,Neutral
parts pls,Neutral,Neutral,Neutral
Caleb's homecoming story bro,Neutral,Neutral,Neutral
"I was a little careless watching YouTube, Bro, Windah, playing games",Negative,Negative,Negative
omagaa,Neutral,Neutral,Neutral
love sylus bro love,Positive,Positive,Positive
"Thank you, bro, playing with this is enthusiastic, bro, Windah",Positive,Positive,Positive
"proud to play, okay?",Positive,Positive,Positive
"Lagibatuq's community effect really has an impact. Seeing the game that was criticized yesterday because of romance and a guy playing Windah, even though it's a normal game, the community effect makes me think strangely about this game.",Negative,Negative,Negative
Xavier my love,Positive,Positive,Positive
boy bro,Neutral,Neutral,Neutral
my sylus omg thank you so much bro windah,Positive,Positive,Positive
"proud, come on, bro",Positive,Positive,Positive
"Bro, Windah plays the game I like",Negative,Neutral,Negative
"Thank you, bro, stay healthy and play the games I like",Positive,Positive,Positive
capers,Neutral,Neutral,Neutral
Huh,Neutral,Neutral,Neutral
ragebait,Neutral,Neutral,Neutral
ugh,Neutral,Neutral,Neutral
When you hear the opening you really laugh,Positive,Positive,Positive
"Crazy One's rating was released last January, bro",Negative,Negative,Negative
"Proud of the game, the theme is such a crazy story, the Play Store is here",Negative,Negative,Negative
It's just that Indonesian people don't like this,Neutral,Neutral,Neutral
"I'm laughing, I don't know if the lads community is good at drawing but it's not profane",Positive,Positive,Positive
Caleb's story bro,Neutral,Neutral,Neutral
still handsome bro,Positive,Positive,Positive
greenflag blackcat wow finally,Positive,Positive,Positive
Rafayel's girlfriend hello,Neutral,Neutral,Neutral
I'm a girl who really likes playing games,Positive,Positive,Positive
sylus on top,Positive,Neutral,Neutral
"I'm proud to play the local version of the game, bro, the name is cisini story, I'll wait, thank you",Positive,Positive,Positive
I miss little kids who die where viewers are dominated by girls,Negative,Negative,Negative
The right character is handsome bro,Positive,Positive,Positive
baangggg like it zayneee,Neutral,Neutral,Neutral
Bang Windah Sylus,Neutral,Neutral,Neutral
"Cboel guys are really unique, the game is not brutal, it's easy to rotate, the girl's fan service game is not cool, the blasphemous samsek is really broken, Lananglanang often watches strange things to the point where watching it is considered inappropriate",Negative,Negative,Negative
Zayne's wife,Neutral,Neutral,Neutral
Why are you opening an event bro?,Neutral,Neutral,Neutral
"I'm a guy who plays lads, I'm not interested in looking for romance, I prefer combat, so far the dash is really good, there's no limit, the character build is quite difficult, I really need a bottle of exp, the up story materials are good, the graphics are okay, the game rating really pays attention to the players.",Positive,Positive,Positive
"If the community is free, like the gaming community, I like pictures of G Snonoh and entertain game fans. Sell no.",Neutral,Neutral,Neutral
It's too bad that the game has female viewers,Negative,Positive,Negative
Why is it that girls are the target of watching it?,Neutral,Neutral,Neutral
Girls watching Windah aren't as chaotic as RSJ patients,Neutral,Neutral,Neutral
niraayug laughed,Positive,Positive,Positive
"See, I really hate girls",Negative,Negative,Negative
"I'm a guy who's looking at you, you're a grown-up guy who's a kid who watches weird, weird, lots of direct reprimands",Negative,Neutral,Neutral
Guys play victim final boss Anjir,Negative,Positive,Negative
allorynjasmine guys have average play victim traits sis,Negative,Neutral,Negative
really laughed,Positive,Positive,Positive
fanservice version for boys guys moaning lewdly guys it's not normal guys moaning like that yeah bottom line I'm a guy sighing when I'm embarrassed I,Negative,Neutral,Negative
"Guys are free, if they stray a little, they will immediately blaspheme the world",Positive,Positive,Positive
you're good bro,Positive,Positive,Positive
I love you bro,Positive,Positive,Positive
we love you bro windah we all say in unison,Positive,Positive,Positive
"It's great playing the game, I downloaded it",Positive,Positive,Positive
"Respect bro, greetings from Bocil Sylus",Neutral,Neutral,Neutral
"Continue the story, bro, open Caleb",Neutral,Neutral,Neutral
"Good choice, bro, I'm semsem or Zayne",Positive,Positive,Positive
"Bro, Windah already loves Zayne",Neutral,Neutral,Neutral
ken play anjoyyy,Neutral,Neutral,Neutral
"Thank you bro, Windah, I've been playing the girl's game, but I can't play it, but looking at it, Bro, I'm curious about the game, it's gone",Negative,Negative,Negative
"Bro, handsome, handsome, Caleb",Positive,Positive,Positive
"bro, when are you playing homichiper, bro, I miss you, bro, Serett",Neutral,Neutral,Neutral
I like this game,Negative,Positive,Negative
real world slang,Positive,Positive,Positive
"bro, thanks for playing the game hosted by Cwo, honestly, the video is really entertaining, thanks bro, stay healthy",Positive,Positive,Positive
yep,Neutral,Neutral,Neutral
"bro, patiently waiting for the part",Neutral,Neutral,Neutral
"bro, please play monthly idol",Neutral,Neutral,Neutral
gokillll bro next story caleb,Neutral,Neutral,Neutral
The content is filthy bro,Negative,Positive,Neutral
like bro,Neutral,Neutral,Neutral
Si Sylus SS Mulu or Bang Windah,Neutral,Neutral,Neutral
we love you bro windah,Positive,Positive,Positive
sell lutouch some grass duh,Negative,Neutral,Neutral
You should just sleep at home,Neutral,Neutral,Neutral
dreaming a lot,Neutral,Neutral,Neutral
look at yourself look at the mirror touch some grass nerd,Neutral,Neutral,Neutral
hot man,Positive,Positive,Positive
playing it bro windah,Neutral,Neutral,Neutral
"Thank you bro, Windahhhh for playing the game",Negative,Positive,Negative
you're really handsome,Positive,Positive,Positive
thankkyouu proud windahh miss u,Positive,Positive,Positive
Evelyn Imroatus laughed,Positive,Positive,Positive
"Lol, the duration of the waking hours doesn't matter, bro, I haven't downloaded the game because it's a potato cellphone",Positive,Neutral,Positive
"Bro, playing HSR, updates the story with beautiful characters",Positive,Positive,Positive
"I'm really laughing, my face is salting, but I'm holding back awaowkakakwo",Positive,Positive,Positive
zayne eight pack windah one pack,Neutral,Neutral,Neutral
"Thank you, bro, coal windows",Neutral,Neutral,Neutral
my dragon is gone,Neutral,Neutral,Neutral
"Sylus's story is really great, bro",Positive,Positive,Positive
"thank youuuuuu so much, proud to review this game",Positive,Positive,Positive
clock buffet,Neutral,Neutral,Neutral
carry on bro,Neutral,Neutral,Neutral
really late watching by the way thanks for playing the game bro,Negative,Negative,Negative
love you bro windah,Positive,Positive,Positive
"Bro, what games are you playing? Support, Bro. Windah, cheer up",Neutral,Neutral,Neutral
bro,Neutral,Neutral,Neutral
"Sylus is crazy, that's an act of money, bro",Negative,Negative,Negative
king mole king of world games,Neutral,Neutral,Neutral
threatening aura,Neutral,Neutral,Neutral
continue calebs story please bro,Neutral,Neutral,Neutral
i love sylussss,Positive,Positive,Positive
"bgg, I'm a satisfied girl, bro",Positive,Positive,Neutral
finally playing this game,Negative,Neutral,Negative
"proud to continue, thanks",Positive,Positive,Positive
"When you watch it, Bang Winda smiles to yourself",Neutral,Neutral,Neutral
"Bro, I like Zayne",Neutral,Neutral,Neutral
"Thank you very much, bro, if you don't play games, your cellphone is not capable of playing with your female fans, thank you",Positive,Neutral,Neutral
"Bro, Windah doesn't act like he's interested in buying a costume",Positive,Neutral,Neutral
"Yeyy finally haven't played the game yet, I saw my fav streamer playing the game then I can watch it",Negative,Negative,Negative
Cool,Positive,Positive,Positive
"I'm surprised a YouTuber can know how to play a good game, but there's nothing wrong with double standards",Negative,Positive,Negative
thank you bro winnn,Neutral,Neutral,Neutral
Thank you bro for playing the event,Neutral,Neutral,Neutral
"thank you bro, windah, you have the right to play the games you like",Positive,Positive,Positive
Rafayel's girlfriend,Neutral,Neutral,Neutral
"Your user ID, bro",Neutral,Neutral,Neutral
bro,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Boty wibu flow game bro,Negative,Negative,Negative
bro proud of double standards,Positive,Positive,Positive
I'm afraid of Caleb bro,Negative,Neutral,Neutral
Chinese Donghua,Neutral,Neutral,Neutral
You're Zayne bro,Neutral,Neutral,Neutral
"When you watch it, Bang Windah, come here, Bang Windah, call Zayne Zaineqqq",Neutral,Neutral,Neutral
"Thank you bro, it's really fun to download too",Positive,Positive,Positive
thanks daddy,Positive,Positive,Positive
"Thank you for playing, bro, Windah",Neutral,Neutral,Neutral
"bro, play crazy one",Negative,Negative,Negative
"Bro, because of you, my wallpaper is a picture of Sylus",Neutral,Neutral,Neutral
better game echo prn,Positive,Positive,Positive
"Bro, let's part",Neutral,Neutral,Neutral
played,Neutral,Positive,Neutral
Keyen bro,Neutral,Neutral,Neutral
"Don't continue, bro, it's not good",Negative,Positive,Positive
"bro, play bro par piliss, be enthusiastic bro",Positive,Positive,Positive
great time,Positive,Positive,Positive
"yuhuuuu thanks bro for playing the game, it's great",Positive,Positive,Positive
"I'd like to try playing it bro so you know because you don't subscribe. You're mature and smart. You know bro. Don't ruin it, thanks bro.",Positive,Positive,Positive
yep,Neutral,Neutral,Neutral
"bro, girl games, Bang Windah, play games, watch girls take turns playing Korean girl games yesterday, it was cool, cool",Positive,Positive,Positive
"I'm sorry, bro, I'm asking to blaspheme the viewer's comments, if yes, if yes, say yes, it's easy, I understand what you mean, bro, it's wrong to ask, blaspheme.",Negative,Neutral,Negative
Tacky double standards,Neutral,Neutral,Neutral
Why are you paying attention?,Neutral,Neutral,Neutral
"If the cellphone doesn't work, force it",Neutral,Neutral,Neutral
"If you don't like it, don't watch it, it's hilarious",Positive,Positive,Positive
what's so funny?,Positive,Positive,Positive
"Hadeh, I'm really monitoring the insect guy",Positive,Neutral,Positive
why are you watching?,Neutral,Neutral,Neutral
"I like it, bro, your management is hilarious",Positive,Positive,Positive
newbies without windah viwers,Neutral,Neutral,Neutral
"I don't like close, why watch it and don't get attention?",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
respect bro by the way bro rijad until you play the doll machine try it bro windah play until you open the kitty cards claw machine,Neutral,Neutral,Neutral
Thank you bro Windahhh we love you so much,Positive,Positive,Positive
"bro, play it again",Neutral,Neutral,Neutral
"Most of the kids hang out freely, the boys talk about brutality when the girls' version is advertised, there's no blasphemy aowkowwk",Positive,Positive,Positive
damn it's a fish leak,Neutral,Neutral,Neutral
thanks a lot bro windah love kebon,Positive,Positive,Positive
"thanks bro, I've been playing with my pen and my cellphone and I can't get it to translate in truuuss, let's see the story",Positive,Positive,Positive
"The banner was the same as yesterday, bro, it's not safe, bro",Negative,Positive,Negative
"What's up, you kid pretends to forget to play before it's hilarious, Babget's caper is taken care of by his parents, his gas doesn't matter",Positive,Positive,Positive
"guys, please pray that March passes snbp ui amen",Neutral,Neutral,Neutral
"Bro, Windah, selection of MC's son-in-law candidates",Neutral,Neutral,Neutral
"bro, it's muddy",Neutral,Neutral,Neutral
"Banh Windah Same when playing the game, Zayne immediately melted",Negative,Positive,Negative
"great, thank you, appreciate playing the game bro",Positive,Positive,Positive
"It's really exciting to see Bro Windah playing this, great respect",Positive,Positive,Positive
"Bro, Windah met Sylus, bro",Neutral,Neutral,Neutral
Zayne is really flirtatious,Positive,Positive,Positive
"Thank you bro, Windah for playing this game",Negative,Positive,Negative
bro next play crazy ones,Negative,Negative,Negative
jomoclodon,Neutral,Neutral,Neutral
"Grandma's MC, bro, father, boys, grandma's harem",Neutral,Neutral,Neutral
anjayy releases iugaa,Neutral,Neutral,Neutral
"I'm really surprised, yes, I played it",Positive,Positive,Positive
I'm looking forward to laughing forever ancrittt,Neutral,Neutral,Neutral
Ken plays the game fluently in English,Negative,Negative,Negative
really play,Positive,Positive,Positive
part bro,Neutral,Neutral,Neutral
"Thank you very much, bro, Windahhh, playing lads respect",Positive,Neutral,Neutral
seeeeerruuuuuu,Neutral,Neutral,Neutral
don't bother,Neutral,Neutral,Neutral
"Don't care about people's comments, bro, play the game",Negative,Positive,Negative
"Jir, what games are you playing?",Neutral,Neutral,Neutral
"aowkwkke I'm really laughing, you're laughing, bro, you said Sylus pretends to be handsome but he's stupid",Negative,Positive,Positive
"really fun to watch it again for a full hour, watching it, it's really funny, it's fun to see Bro Windah's reaction when playing, thank you bro for the review",Positive,Positive,Positive
,Neutral,Neutral,Neutral
"Thank you bro, mainnnnn",Neutral,Neutral,Neutral
handsome,Positive,Positive,Positive
ih sylus cm sylusss aaa,Neutral,Neutral,Neutral
"thank you, you're proud of Windahhh, you're really cool, Gookkill, continue the story, Calebb, proud of you, plijsss",Positive,Positive,Positive
unclean double standards,Neutral,Neutral,Neutral
let's just let it be like that,Neutral,Neutral,Neutral
I know right,Positive,Positive,Positive
what are you doing?,Neutral,Neutral,Neutral
so you don't look cool,Positive,Positive,Positive
,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
I don't understand the gameplay,Neutral,Neutral,Neutral
"Let go, bro, don't hold back his disgusted face, he's laughing, he's actually watching, but he likes gaming",Negative,Neutral,Negative
tara murip ashley,Neutral,Neutral,Neutral
bad game mesm,Negative,Negative,Negative
nikki infinity review bro,Neutral,Neutral,Neutral
"Bro, Windah plays games",Neutral,Neutral,Neutral
"Bro, Windah, prepare photos for pre-wedding so that your poses are cool",Positive,Positive,Positive
"bro, it's hard to make a living on the sylus, but the sylus is worried, bro, lvl up in sylus if",Negative,Neutral,Negative
"lots of noisy yapping, bro",Neutral,Neutral,Neutral
"This game is really cool, that funny kid made a really funny comment yesterday",Positive,Positive,Positive
love you bro,Positive,Positive,Positive
yeahyyyy,Neutral,Neutral,Neutral
UI student Rafayel,Neutral,Neutral,Neutral
yayyyyy,Neutral,Neutral,Neutral
no green flag bjir,Positive,Neutral,Negative
Sylus is a proud girlfriend,Positive,Positive,Positive
"Viewers, Bro, Windah, the girl",Neutral,Neutral,Neutral
Hello,Neutral,Neutral,Neutral
laughing sylus screaming old money really bahhhh,Positive,Positive,Positive
carry on bro,Neutral,Neutral,Neutral
You're ugly at times,Negative,Negative,Negative
"You know, your brain is messed up",Neutral,Neutral,Neutral
I'm sick of being homophobic and I'm forced to watch it,Negative,Negative,Negative
You think it's easy to make a game like an RPG,Positive,Positive,Negative
bro story caleb lesgoooo,Neutral,Neutral,Neutral
Thank you bro Windahh,Neutral,Neutral,Neutral
ily bro wjndah,Neutral,Neutral,Neutral
disgusted disgusted really disgusted,Negative,Negative,Negative
seconds seconds crashes,Neutral,Neutral,Neutral
"okay, the game isn't animated ppt",Positive,Positive,Positive
"choose Zayne comeback, still choose Zayne laugh",Positive,Neutral,Positive
pls really laugh when you play day one buy a towel,Positive,Positive,Positive
"Sylus Aura is really a red flag, bro, actually a green flag, my wife already knows that",Negative,Neutral,Negative
I really laughed when I took a screenshot of Jir,Positive,Positive,Positive
bro rafayel pisces km,Neutral,Neutral,Neutral
"OK, boss, you played Nikke then got angry, Windah played a hilarious laughing game",Positive,Positive,Positive
bro playing castlevania lord of shadow,Neutral,Neutral,Neutral
"I like Zayne, bro, Windah is cold but still laughs",Negative,Neutral,Neutral
ahh,Neutral,Neutral,Neutral
"No hunter, bro, Windah got a minute too",Neutral,Neutral,Neutral
"Respect, thank you bro",Neutral,Neutral,Neutral
"I've been playing until now, can't choose who's bias, different stories, different bias, awoakakka, all the characters are charming",Positive,Positive,Neutral
"Honestly, I play the game in good spirits",Positive,Positive,Positive
"I miss you bro, let's continue the game",Negative,Neutral,Negative
"Girls' games, guys' games are brutally sexualizing, guys are scared to see girls' games",Negative,Neutral,Neutral
I'm disgusted,Negative,Negative,Negative
"that's enough, yep",Neutral,Neutral,Neutral
"don't like to close, bro, why are you commenting so thirsty for attention?",Neutral,Neutral,Neutral
Windah is crazy,Negative,Negative,Negative
choose oshi huhu,Neutral,Neutral,Neutral
"proud, thank you for playing the game",Positive,Positive,Positive
"Anjir is in a really good mood, letsss goo girllsssss",Positive,Positive,Positive
crew tip until diamond money just upgraded cards dah play battle characters play claw machine kitty cards read stories use accessories free upgrade people infinity,Positive,Positive,Positive
"Bro Windah really plays love and deepapace, salute Bro Windah, don't listen to the bad talk of his fans",Positive,Positive,Positive
Lots of girls play the game lol,Positive,Positive,Negative
rafarel marmen,Neutral,Neutral,Neutral
i want him toooo,Neutral,Neutral,Neutral
"Bro, Windah plays the game he likes",Negative,Neutral,Negative
big respect bro windah,Neutral,Neutral,Neutral
gg bro windah,Neutral,Neutral,Neutral
sylus presidential candidate's comments by the way I didn't react bro windah pas ulti sylus football supporter anyway good work on this bang bener woman likes good boy sylus is a whole green forest,Positive,Positive,Positive
"I miss Rafayel, downloaded when it was released, it was deleted because it was so big, the potato cell phone wasn't strong enough",Positive,Positive,Neutral
"Cheer up, bro. Pay attention to people who don't like you",Neutral,Neutral,Neutral
"Proud to continue the game, Bro, Seretttt",Positive,Positive,Positive
"help support it, bro",Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
there's nothing wrong,Negative,Negative,Negative
"big respect, thanks, proud to have been hit by flood damage",Positive,Positive,Positive
character bro,Neutral,Neutral,Neutral
"bro, thank you so much for playing with the best game, bro",Positive,Positive,Positive
less handsome character,Positive,Positive,Positive
ragebaitkid halu,Neutral,Neutral,Neutral
"Guys, when it comes to girls' games, they immediately blaspheme",Neutral,Neutral,Neutral
example person,Neutral,Neutral,Neutral
"because in the world there are lots of guys, your standards are not up to the mark, how can a girl get a guy who laughs, a guy who's cool, hahaha",Positive,Positive,Positive
read,Neutral,Neutral,Neutral
you're not handsome enough,Negative,Positive,Positive
You can arrange games specifically for girls,Neutral,Neutral,Neutral
attention seeker mentioned hahahahhah clown,Neutral,Neutral,Neutral
I haven't used play point yet,Neutral,Neutral,Neutral
"It's okay, so handsome, bro, people are indeed handsome",Positive,Positive,Positive
The dream of being hit by a handsome guy's bank account,Positive,Positive,Positive
choose her future husband,Neutral,Neutral,Neutral
How do you succeed like Bang Windah hehe on YouTube without getting any views?,Neutral,Neutral,Neutral
"I respect you, bro, Windah doesn't listen to people",Neutral,Neutral,Neutral
"Bro, play the female version of Crazy Ones",Negative,Negative,Negative
"Bro, Windah, play using a PC",Neutral,Neutral,Neutral
bro,Neutral,Neutral,Neutral
the game is cool,Negative,Positive,Negative
"That's right, the ff is casual",Negative,Positive,Positive
really genuine mood,Positive,Positive,Positive
hahaha,Positive,Positive,Positive
"Thank you bro, I see that my cellphone doesn't support downloading",Neutral,Neutral,Neutral
"Continue, don't be proud",Positive,Positive,Positive
play the game infinity nikki bang windah game male,Negative,Positive,Negative
"Bro, a tsundere girl admits that she likes Zayne and has a crush on Sylus",Neutral,Neutral,Neutral
laughing red face,Neutral,Neutral,Neutral
cheesy Sylus' wife,Negative,Neutral,Neutral
wow laptop,Positive,Positive,Positive
do you play the game?,Negative,Negative,Negative
emulators,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
Sylus' wife's jealous moment,Neutral,Neutral,Neutral
"Bro, Kombek FC Mobile, miss the spin now, is the spin big or not?",Neutral,Neutral,Neutral
finished,Neutral,Neutral,Neutral
solo leveling gameplay,Neutral,Neutral,Neutral
"Bro, Windahhhh, I'm really proud to be a wise adult playing rest games, bro",Positive,Positive,Positive
carry on,Neutral,Neutral,Neutral
Bang char is a guy,Neutral,Neutral,Neutral
The emulator is heavy and the game is heavy,Negative,Negative,Negative
"Thank you bro, Windah, let's play GAMA",Neutral,Neutral,Neutral
"I didn't expect the gameplay to be good, the story is moving, I'm vn",Positive,Positive,Positive
I love you bro,Positive,Positive,Positive
hate mokondo comments,Negative,Negative,Negative
"bro, don't continue playing the homicipher game",Negative,Neutral,Negative
"Zayne, dear child, Windah",Neutral,Neutral,Neutral
Match Evelyn Sylus bro,Neutral,Neutral,Neutral
bro account,Neutral,Neutral,Neutral
"Calm down, bro, whatever game you're playing, I'm still watching it now, how about it, it's already boring and I'm not watching it.",Negative,Negative,Negative
"Play the FC Mobile game, bro",Negative,Negative,Negative
gg proud windahhh,Positive,Positive,Positive
"Bro, Windah, Main FC Mobile, Bro, Update Main OVR",Positive,Positive,Positive
ugh,Neutral,Neutral,Neutral
bye,Neutral,Neutral,Neutral
ashiprisilia indeed bro,Neutral,Neutral,Neutral
proud homicipherr,Positive,Positive,Positive
games,Neutral,Neutral,Neutral
"Bro Windah, I love you",Positive,Positive,Positive
"yeah, thank you, virtualhug",Neutral,Neutral,Neutral
there is nothing wrong with this game you guys are the problem let the girls play in peace duh,Negative,Negative,Negative
"It's really cute, Sis Agnes's MC visuals really suit Bang Windah's taste",Positive,Positive,Positive
worth buying DM proud in exchange for Aurum Pass tickets but that's it,Positive,Positive,Neutral
"thanks bro for reviewing the game, players lads, satisfied with watching your live, if you're confused about the game, bro, by the way, if you understand the story, the flow",Negative,Negative,Negative
"Hylos, why do you reward Bang Windah?",Neutral,Neutral,Neutral
stremer ready,Positive,Positive,Positive
wet auto girl,Negative,Negative,Negative
"bro, don't you play dynasty warrior origins?",Neutral,Neutral,Neutral
"bro, a suggestion for tomorrow when playing games using the internet is a bit rotten, the opening song is good for a laugh",Positive,Positive,Positive
Caleb will meet you later,Neutral,Neutral,Neutral
"It's really funny, really has a minus brain",Positive,Positive,Positive
"Bro, play Supersus, bro",Neutral,Neutral,Neutral
playing game,Negative,Negative,Negative
"don't talk about women women viewers, you can get cogan game, bro, you'll get married, cogan game, what happens to single guys, tuir",Negative,Negative,Negative
it's actually a girl's game but if a guy plays it's wrong it's like a girl's playing an otome mc game that's a guy if he plays it's just playing,Negative,Negative,Negative
homecoming story caleb donggg,Neutral,Neutral,Neutral
ha ha,Neutral,Neutral,Neutral
"You are an adult, handsome, beautiful, goals, live, trust, old friends, for example Kpopers, SNSD, Super Junior, have idol looks",Positive,Positive,Positive
healthy comments,Positive,Positive,Positive
"yes, eat and treat it's hilarious",Positive,Neutral,Positive
You think it's a shame not to watch Windah,Neutral,Positive,Neutral
"It's real, if you really have a soul mate, bro, good men and women meet according to what Lauhul Mahfudz wrote, pessimistic fyp tik tok, that fake social media standard.",Positive,Positive,Positive
what the heck,Neutral,Neutral,Neutral
insecure people,Negative,Negative,Negative
"bro, you're insecure about a fictional character",Negative,Negative,Negative
Yes,Neutral,Neutral,Neutral
wkwkwkwwk damn bro by the way take it seriously guys comment jokes sarcasm I know,Negative,Neutral,Neutral
"Yes, take care of your thoughts like you",Neutral,Neutral,Neutral
hahaha insecure fictional character,Negative,Negative,Negative
"Average face, no attitude, don't have an average face, take care of it so that your skin is smooth, no acne, clean, etc. OK, if you've fallen in love, your attitude will automatically make you more handsome, huahahahha",Positive,Positive,Positive
"I'm really afraid that if you're single, girls will only look physically",Negative,Negative,Negative
pin tutor,Neutral,Neutral,Neutral
haters detection,Neutral,Neutral,Neutral
apas,Neutral,Neutral,Neutral
Your fashion is bad,Negative,Negative,Negative
really insecure,Negative,Negative,Negative
buffoonery,Neutral,Neutral,Neutral
finally yepiiiiiiiiiiii,Neutral,Neutral,Neutral
hmmmm yes YouTuber,Neutral,Neutral,Neutral
"Heh, the MC character is Windah Fuji",Neutral,Neutral,Neutral
"I like Zayne, bro, Sigma Farhan",Neutral,Neutral,Neutral
gg bro windahhh,Neutral,Neutral,Neutral
continue the story sylus aim for likes,Neutral,Neutral,Neutral
"Bro, Windah, thanks for playing this game, can't play cellphone games, it doesn't support it",Negative,Positive,Negative
contents of the anjir woman,Neutral,Neutral,Neutral
big respect for you papa brandoo thank you so much,Positive,Positive,Neutral
Bang Windah main Moonlight Crush Indonesian language game story boyfriend,Negative,Negative,Negative
comment for a moment end like what is wrong with u,Negative,Neutral,Neutral
"Wow, the game play is good, yesterday's guy's game had a plot with a girl, big melon capital house, look at it, you're a toxic kid, how do you like it?",Negative,Positive,Negative
"bro, please, if you stream, don't care about the viewers enjoying playing the game, don't worry",Positive,Positive,Positive
bro like it,Neutral,Neutral,Neutral
part bangggghhh,Neutral,Neutral,Neutral
"When you pull, you get Caleb",Neutral,Neutral,Neutral
Thank you Emile,Neutral,Neutral,Neutral
"yeah, it's fun to play",Positive,Neutral,Positive
"ih, mc ak's brother, his surname is lockhart",Neutral,Neutral,Neutral
Cie grinned playing in it,Neutral,Neutral,Neutral
who help?,Neutral,Neutral,Neutral
"Yes, the target of the game is girls, it's normal to watch girls",Negative,Neutral,Negative
"The game is for girls, Bang Windah, it's live for girls, you know",Negative,Positive,Negative
so what are you afraid of competition?,Negative,Neutral,Neutral
"Thank you, bro, playing lads, I love Caleb, bro",Positive,Positive,Positive
proud to continue,Positive,Positive,Positive
wow,Positive,Positive,Positive
"sorry for not watching until I took care of it by the way, thanks bro Brando for playing the game",Negative,Negative,Negative
girls friends girls slayyy,Neutral,Neutral,Neutral
"Thank you for playing the game, great player, lads, price, response, bro, Windah, it was really fun, live yesterday, it was hilarious, it was really entertaining, successful, proud, proud of youu",Positive,Positive,Positive
nutorin download laptop ga,Neutral,Neutral,Neutral
thanks bro,Positive,Positive,Positive
gg trending,Neutral,Neutral,Neutral
UI student Rafayel,Neutral,Neutral,Neutral
finally,Neutral,Neutral,Neutral
cool,Positive,Positive,Positive
yeyyyyy,Neutral,Neutral,Neutral
I'm proud to like Sylus Zyne,Positive,Positive,Positive
"Am I really excited to see you, Bro, Windah looks really excited when playing the game",Positive,Positive,Positive
"Day request, Bro, Windah to play Lokapala",Neutral,Neutral,Neutral
gg,Neutral,Neutral,Neutral
"bro, try playing crazy one",Negative,Negative,Negative
"Very visual novel type, the game reads stories but doesn't like reading. Playing is the best. I'd say the BKP game is really scifi romance, bro.",Positive,Positive,Positive
Thank you very much bro for playing the game,Negative,Negative,Negative
perioddtt,Neutral,Neutral,Neutral
purrr,Neutral,Neutral,Neutral
ahahaha,Neutral,Neutral,Neutral
Bang Windah's part is really funny,Positive,Positive,Positive
yurrrrr,Neutral,Neutral,Neutral
yessss baddiesss,Neutral,Neutral,Neutral
yeahhhh,Neutral,Neutral,Neutral
njirrrrr,Neutral,Neutral,Neutral
hahahahaha,Positive,Positive,Positive
The average otome game is a visual novel model and the cons of live streaming are not dangerous,Negative,Negative,Negative
"Continue the story, bro",Neutral,Neutral,Neutral
"Bang Windah, please play Tears of Themis please",Neutral,Neutral,Neutral
"Thank you, Bro, Kepo Gamudeng Game, Bang Windah Main Tauu Sylus, he's handsome by the way",Positive,Positive,Positive
it's fun,Positive,Positive,Positive
yayyyy,Neutral,Neutral,Neutral
I think it's a crazy cool jir game,Negative,Negative,Negative
Bang Windah bucin Mamah Agnes,Neutral,Neutral,Neutral
"Game based on gender, played by men and women, entertaining game",Negative,Negative,Negative
"Finally bro, Windah played the game, sorry bro, I couldn't watch it yesterday",Negative,Negative,Negative
,Neutral,Neutral,Neutral
try bro windah full live stream grinning grinning salting ngahahahhaha,Positive,Positive,Positive
anjay,Neutral,Neutral,Neutral
It's really fun mop bro prat,Positive,Positive,Positive
"bro, please accept the request, lads pen friend",Neutral,Neutral,Neutral
