Komentar,Label Asli,Prediksi NB,Prediksi SVM
"Bro, play please",Neutral,Neutral,Neutral
anjay,Neutral,Neutral,Neutral
Thank you bro for playing the game by the way Sylus Kuu is really handsome,Positive,Positive,Positive
ryhan envy ryhanganteng,Neutral,Neutral,Neutral
"Bro, what's the story pls?",Neutral,Neutral,Neutral
"it's fun, I like it",Positive,Positive,Positive
"yes, bro, bro",Neutral,Neutral,Neutral
"bro, play minecraft",Neutral,Neutral,Neutral
Bang Windah's part is really funny,Positive,Positive,Positive
"Yesterday, this game's fandom beard burned, right?",Negative,Positive,Negative
"bro, please play the fear and hunger game, bro, kid, fear and hunger",Negative,Positive,Negative
thank you for not listening to those people who clearly don't know the game and never played it but hope to know that ordinary Indonesian people are bad thank you,Negative,Negative,Negative
dregs game,Negative,Positive,Negative
pls bro comuk you,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
respect bro gg love you,Positive,Positive,Positive
do you understand otome?,Neutral,Neutral,Neutral
what a horror,Neutral,Neutral,Neutral
"Thank you bro for playing this game. Respect bro, Windahh, you made this part, bro",Negative,Neutral,Negative
wait for the next time to play the game bro,Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
"I personally despise games with too much fan service, guys",Positive,Neutral,Neutral
shark eats panda i love you bro windah,Positive,Positive,Positive
"Thank you bro, Windah for playing this game",Negative,Positive,Negative
girl's comment,Neutral,Neutral,Neutral
anjr wowkwowkwo yes,Neutral,Neutral,Neutral
yes,Neutral,Neutral,Neutral
Thank you bro for the game review,Negative,Positive,Negative
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"thank you so much bro, play the game lads",Negative,Positive,Negative
otome games,Neutral,Neutral,Neutral
"bro, try looking at the date",Neutral,Neutral,Neutral
"You know, you press it bro",Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
yessss baddiesss,Neutral,Neutral,Neutral
less handsome character,Positive,Positive,Positive
"thank you for playing love and deepspace bro, windah, it's really fun, bro, really enjoyed watching it by the way, the battle doesn't play the story, bro, the battle is definitely difficult to play the story",Positive,Positive,Positive
"mention it, try the game, mention it",Negative,Neutral,Negative
everything is really pretty,Positive,Positive,Positive
bang doujin bang meaning of doujin,Neutral,Neutral,Neutral
"It's sad, bro, Windah is trying to date and laugh",Negative,Positive,Negative
"bro, play crazy ones",Negative,Negative,Negative
p adu no hunter beautiful,Positive,Positive,Positive
"bro, play like gin, dong aeru",Neutral,Neutral,Neutral
Rafayel's girlfriend,Neutral,Neutral,Neutral
Last night I didn't watch the stream,Neutral,Neutral,Neutral
thank you bro for playing this game,Negative,Negative,Negative
I am a,Neutral,Neutral,Neutral
Sylus doesn't like straight guys who don't turn,Positive,Neutral,Neutral
"I'm really afraid that if you're single, girls will only look physically",Negative,Negative,Negative
"Thank you, bro, I'm determined to play the game",Negative,Positive,Negative
This haluu game makes girls go crazy,Negative,Negative,Negative
"yeah, that's wrong, it's exciting",Negative,Positive,Negative
Xavier is my favorite character because he is so handsome,Positive,Positive,Positive
stujuuu,Neutral,Neutral,Neutral
I'm a girl who really likes playing games,Positive,Positive,Positive
"This is a really sweet girl, my type just loves to laugh",Positive,Positive,Positive
"bro, try playing the game evil within, it's like the fun last of us, it's a good game",Negative,Positive,Negative
"Thanks bro, Windah plays my favorite game wahahahayougotthisyougotthisyougotthisyougotthis",Positive,Positive,Positive
The max is just adding friends,Neutral,Neutral,Neutral
player love and deepspace really neng for playing the game thank you bro for entertaining us and thank you bro windah,Positive,Positive,Positive
Isisschwarzerrritter what's so funny,Positive,Positive,Positive
yeah,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
proud pin,Positive,Positive,Positive
"It's cool, what guy did you blame?",Positive,Positive,Positive
Anjay doesn't crash anymore until Xavier's clothes become rainbowim proud of ur computer,Positive,Positive,Neutral
gg excitedly waiting for Caleb's version,Positive,Neutral,Neutral
"Just call me nala, I'm not ignorant, it's true that old age is childish",Positive,Positive,Neutral
Yes,Neutral,Neutral,Neutral
"It's a human name, the game has a big chance of coming out",Negative,Positive,Negative
"the title of the song is love and deepspace, sung by Sarah Brightman, the song is really good",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
lockert,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
love brandoo no matter what happened,Positive,Positive,Positive
Very sigma bro,Positive,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Thank you very much, I'm proud to play this",Positive,Positive,Positive
"Be enthusiastic, don't listen to the capeers you're watching, bro",Positive,Positive,Neutral
"bro, please play the fear and hunger game, bro, kid, fear and hunger",Negative,Positive,Negative
normal male mochaners play games,Positive,Neutral,Neutral
"Lol, the duration of the waking hours doesn't matter, bro, I haven't downloaded the game because it's a potato cellphone",Positive,Neutral,Positive
yep,Neutral,Neutral,Neutral
Thanks bro Windah,Positive,Positive,Positive
"bro, play Simcity until the end bro",Neutral,Neutral,Neutral
thankkyouu proud windahh miss u,Positive,Positive,Positive
I really feel sorry for Bang Windah's message,Negative,Positive,Positive
smooth editing,Positive,Positive,Neutral
askedvondegurechaff what's so strange about your bkp game huh,Negative,Negative,Negative
use an emulator bro,Neutral,Neutral,Neutral
"Thank you, bro, playing the game, I can't see your expression, bro, keep up the enthusiasm",Negative,Positive,Negative
"Sylus Naga Myth makes crazy numbers, I'm really free of topping up but I'm satisfied",Positive,Positive,Positive
thanks bro,Positive,Positive,Positive
"bro, try crazy onee",Negative,Negative,Negative
"Respect, thank you bro",Neutral,Neutral,Neutral
"bro, drill, bro, forget to drag",Negative,Neutral,Neutral
love you bro windah,Positive,Positive,Positive
"good game but the fandom is controlling it so you don't play it when you play it, you're addicted to parts, you know now, your character is a double standard face girl",Negative,Positive,Negative
windahbasudara thank you bro,Neutral,Neutral,Neutral
"Thank you bro, Windahh, playing the game, I'm proud to entertain everyone",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
windah jomoq,Neutral,Neutral,Neutral
new pfp,Positive,Neutral,Positive
It's crazy that it doesn't play until it's loud,Negative,Negative,Negative
rafayel,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
the elitist bastards are lying down,Negative,Neutral,Neutral
part bang review caleb plss,Neutral,Neutral,Neutral
"Go to the guys, bro",Neutral,Neutral,Neutral
Winda Uchiha,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Thank you bro, playing this game is healthy bro",Positive,Positive,Positive
yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"I'll try my handsome character, v",Positive,Positive,Positive
"Bro, my advice, journalism kids, take data like gin, it's better to use official sources like news websites, don't use social media accounts, you're afraid of not trusting random sources.",Negative,Positive,Neutral
wkwkwkwwk damn bro by the way take it seriously guys comment jokes sarcasm I know,Negative,Neutral,Neutral
"Thank you, Bro, Kepo Gamudeng Game, Bang Windah Main Tauu Sylus, he's handsome by the way",Positive,Positive,Positive
wow yeah that's hilarious,Positive,Positive,Positive
play the game infinity nikki bang windah game male,Negative,Positive,Negative
Bang Windah is amazed by Zayne,Neutral,Neutral,Neutral
"Bro, Windah, healthy and healthy",Positive,Positive,Positive
"Viewers, Bro, Windah, the girl",Neutral,Neutral,Neutral
really zayne sunghoon enhypen is cute pol mennn,Positive,Positive,Positive
"The game is cool, it's fun to be curious",Positive,Positive,Negative
aaaakkk thx bro Windows has silenced the double standard oot but bro Windows uses an emulator yeh,Neutral,Neutral,Neutral
"I'm proud of Bng Windah, his mental strength is strong enough to withstand being insulted by people x Cwo Insikur",Positive,Positive,Positive
"Thank you for playing the game, I'm proud to watch the fun of playing games, Indonesian YouTuber lads",Positive,Positive,Negative
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Thank you bro, I'm satisfied I haven't topped up laughing yet",Positive,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"Thank you for playing the game, great player, lads, price, response, bro, Windah, it was really fun, live yesterday, it was hilarious, it was really entertaining, successful, proud, proud of youu",Positive,Positive,Positive
"Yes, the female character has bigger chest and head",Neutral,Neutral,Neutral
"Bro, Windah, come on, Caleb points, come on, come on tomorrow, come on, come on, come on",Neutral,Neutral,Neutral
"Thank you, bro, for playing the game, I forgot Caleb's story, bro",Negative,Positive,Negative
"Bro, if I'm not mistaken, it's Eve Sylus, bro",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"go, bro",Neutral,Neutral,Neutral
"Bro, playing the part is really fun",Positive,Positive,Positive
Helmiyahya actually questioned the jword but when a male viewer made an indecent comment on a female player,Neutral,Negative,Neutral
love sylus bro love,Positive,Positive,Positive
"bro, play the game couplecultivation saves the world",Negative,Neutral,Negative
ugh,Neutral,Neutral,Neutral
rich,Positive,Neutral,Neutral
"Thank you bro, Windah for playing the banner",Neutral,Neutral,Neutral
"Yes, Suki's hilarious boyfriend simulation game",Positive,Neutral,Negative
Yes,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
thank you bro for being kind and understanding,Positive,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
"Thank you bro, play the game well, respect female players",Negative,Positive,Negative
Tysm bro is really happy,Positive,Positive,Positive
character bro,Neutral,Neutral,Neutral
finally playing this game,Negative,Neutral,Negative
thank you bro respect,Neutral,Neutral,Neutral
one wing angel mentioned,Neutral,Neutral,Neutral
Those who really pull the five star card will pay out millions,Positive,Neutral,Neutral
finalglory crazy ones bro no playstore no bet,Negative,Negative,Neutral
"It's real, if you really have a soul mate, bro, good men and women meet according to what Lauhul Mahfudz wrote, pessimistic fyp tik tok, that fake social media standard.",Positive,Positive,Positive
It's true that the windy sylus vibe is Itachi Sesshomaru Byakuya Sephiroth,Positive,Neutral,Neutral
engineer,Neutral,Neutral,Neutral
"Respect bro, thank you for playing",Neutral,Neutral,Neutral
"Thank you bro, for playing the game, you understand a little bit of the game, bro",Negative,Negative,Negative
Yes,Neutral,Neutral,Neutral
keep going with your gameeee nyaaa,Neutral,Neutral,Neutral
ragebait,Neutral,Neutral,Neutral
"Eryoshinori, okay, I told you to play otome, it's really a female-oriented game",Positive,Positive,Positive
thank you bro winnn,Neutral,Neutral,Neutral
"bro, play",Neutral,Neutral,Neutral
"Thank you bro, Windah didn't expect Windah until following the story, interested in success, bro",Positive,Positive,Neutral
"Bro, Windahhhh, I'm really proud to be a wise adult playing rest games, bro",Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
loveee youuu poll bro windaah really love you,Positive,Positive,Positive
play bro,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
thank God the game didn't crash hahaha,Negative,Positive,Negative
"I really like playing it, thank you",Positive,Positive,Positive
gg,Neutral,Neutral,Neutral
"Thank you, bro, Windah",Neutral,Neutral,Neutral
"Ishida or not, Mr. Uryu",Neutral,Neutral,Neutral
viannkaramoyy anjir game for girls played this time homichiper,Negative,Positive,Negative
sstrgz Asian mom's dream husband's daughter-in-law dreams,Neutral,Neutral,Neutral
"don't talk about women women viewers, you can get cogan game, bro, you'll get married, cogan game, what happens to single guys, tuir",Negative,Negative,Negative
name,Neutral,Neutral,Neutral
I'm curious to watch it because,Negative,Positive,Negative
salting yeah,Neutral,Neutral,Neutral
Bang Windah bucin Mamah Agnes,Neutral,Neutral,Neutral
big respect c,Neutral,Positive,Neutral
"Play again, bro, when you change the skill effect, you get a Paircard Solar card, which changes the playing skill effect, bro",Neutral,Neutral,Neutral
It's a good romantic game,Positive,Positive,Positive
"Thank you, bro, Windah, main we love you, bro, stay healthy, bro",Positive,Positive,Positive
agreeeee,Neutral,Neutral,Neutral
"bro, caleb's story bro",Neutral,Neutral,Neutral
"bro, playing the FC Mobile game, bro, toty event, bro, the players are great, bro",Positive,Positive,Positive
"It's better if you watch the first live lads, bro, Rijad is anxious to find a way to hate girls",Negative,Positive,Positive
taught by Luke Kieran,Neutral,Neutral,Neutral
bro play infinity nikki please,Neutral,Neutral,Neutral
yeah,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
